Instance,Executable,Alpha,Best Profit,Average Profit,Profit CV,Average Time,Time CV
700 Itens - Instancia 6,tabu,,2455,2411.0,0.0241092684301474,42.14157328605652,0.0761094324113207
700 Itens - Instancia 6,grasp,0.5,2995,2968.4,0.0060473805881463,374.24371991157534,0.1314069580858212
700 Itens - Instancia 6,grasp,0.75,3008,2975.0,0.0072155470870581,354.8138505220413,0.12195916392977
700 Itens - Instancia 6,ils,0.5,3313,2924.4,0.2177077763945298,431.5494863510132,0.1204017009971042
700 Itens - Instancia 6,ils,0.75,3415,2495.1,0.4039244820180147,419.1146772384644,0.1131390760040136
700 Itens - Instancia 3,tabu,,2639,2478.6,0.0502552225879273,42.46800003051758,0.0971419101824054
700 Itens - Instancia 3,grasp,0.5,3099,3070.4,0.0062701970042255,488.293082857132,0.124486877593321
700 Itens - Instancia 3,grasp,0.75,3099,3069.7,0.0056575308932101,457.8513430118561,0.1846167872323731
700 Itens - Instancia 3,ils,0.5,3290,3229.4,0.0144454658966405,423.4586672782898,0.0821820562716486
700 Itens - Instancia 3,ils,0.75,3523,3217.6,0.1114492155937728,361.6784591913223,0.1893583407717241
700 Itens - Instancia 5,tabu,,2548,2444.2,0.0455409113752983,41.60718379020691,0.1189010764264637
700 Itens - Instancia 5,grasp,0.5,3079,3041.2,0.0062541067620511,342.7522747516632,0.0404072711308191
700 Itens - Instancia 5,grasp,0.75,3079,3038.6,0.0076038234116511,301.88819761276244,0.1408145350313351
700 Itens - Instancia 5,ils,0.5,3279,3205.2,0.0206711793154306,306.17357630729674,0.0389963792354731
700 Itens - Instancia 5,ils,0.75,3348,3236.1,0.0233363634019226,308.6184258937836,0.0370881084555002
700 Itens - Instancia 4,tabu,,2639,2508.4,0.0309393426026367,36.75810194015503,0.0300070130676398
700 Itens - Instancia 4,grasp,0.5,3057,3039.0,0.0032508296242786,327.8301725387573,0.0167624072801278
700 Itens - Instancia 4,grasp,0.75,3084,3045.4,0.0050916555529525,323.238015794754,0.1310470365413693
700 Itens - Instancia 4,ils,0.5,3456,3293.4,0.0325731661098416,352.3501226425171,0.1046368101347744
700 Itens - Instancia 4,ils,0.75,3456,3312.7,0.0317358631868728,316.0837660551071,0.1441808104525388
700 Itens - Instancia 7,tabu,,2628,2463.6,0.0560018196089009,37.44041209220886,0.0490823993347154
700 Itens - Instancia 7,grasp,0.5,2959,2944.4,0.0039349947990654,350.2555748462677,0.174096474121566
700 Itens - Instancia 7,grasp,0.75,2975,2947.4,0.0056165276370157,291.7052752733231,0.2526372218347674
700 Itens - Instancia 7,ils,0.5,3340,3212.8,0.021311671898967,375.3045507907867,0.1058067764890476
700 Itens - Instancia 7,ils,0.75,3401,2531.3,0.4302550069602288,374.7871565341949,0.1004569037485533
700 Itens - Instancia 8,tabu,,2596,2527.6,0.0165383732695208,37.8983609199524,0.0815160713668171
700 Itens - Instancia 8,grasp,0.5,3109,3077.8,0.0072225972609196,375.5458063602448,0.0435357247420013
700 Itens - Instancia 8,grasp,0.75,3167,3090.6,0.0109984351609029,340.53822124004364,0.1129895133316451
